date,action,quantity,price,total
2024-11-29,buy,50,225.66172790527344,11283.086395263672
2024-11-29,sell,5,222.66502380371094,1113.3251190185547
2024-11-29,sell,4,223.2044219970703,892.8176879882812
2024-11-29,sell,4,222.47523498535156,889.9009399414062
2024-11-29,sell,3,227.22999572753906,681.6899871826172
2024-11-29,sell,3,226.9600067138672,680.8800201416016
2024-11-29,sell,3,224.22999572753906,672.6899871826172
2024-11-29,sell,2,224.22999572753906,448.4599914550781
2024-11-29,sell,2,225.1199951171875,450.239990234375
2024-11-29,sell,1,228.22000122070312,228.22000122070312
2024-11-29,sell,1,225.0,225.0
2024-11-29,sell,1,228.02000427246094,228.02000427246094
2024-11-29,sell,1,228.27999877929688,228.27999877929688
2024-11-29,buy,95,229.0,21755.0
2024-11-29,buy,73,228.52000427246094,16681.96031188965
